Post Name,Legality,Category,Our Category,Seller,Description,Shipping From,Link to Post,,,,ranking,Seller,Rating,Sales,country of origin (est),
25 x Packs THC Gummie Bears 400mg EACH PACK,Depends,Edibles,Soft Drugs,THETHCDOCTOR1,,GB,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0rvVuqMMyvyuKcQp,,,,65,CaliforniaGrower,88,26,,
"7days tutorial on fraud (carding,bank loan, transfers etc) ",Depends,Fraud,Tutorials,fraudbuddy,"The discription of the page does not inform the buyer of the potential harms that can be done via this course, it only encourages them to ""replicate them in real life""",WW,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=00607HEH3tcp0wGP,,,,66,ezinpharma,95,26,,
OMG FULLZ INFO FROM lowa + DRIVING LICENSE + Car License,Illegal,Fraud,Stolen Credentials,fraudmigo,,WW,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0gG8hyEi9rujMfOS,,,,67,drugstar,97,22,,
10xmonero silent miner mine xmr using infected pc,Depends,Fraud,Tutorials,niketeam,it depends if the owner of this infected pc has given concent to be used as a mining pc.,WW,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0ku8DxGKzmBnW0MU,,,,68,PsykSous,99,19,,
FREE FULLZ Wyoming + PTIN + ATIN + EIN + CAR LICENSE…...,Illegal,Fraud,Stolen Credentials,fraudfriend,,WW,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0hV33bqDmLQHwu2Z,,,,69,DiscoJuice,100,11,,
2021 - Carding Method Cash Out Money From CC,Illegal,Guides & Tutorials,Tutorials,MiamiVice,,WW,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0BtCg1c9t5EzirAr,,,,70,fraudmigo,98,11,,
How To Open Handcuffs Without Keys - 49 pages tutorial ,Legal,Guides & Tutorials,Tutorials,MiamiVice,,WW,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=06s0krZjLasQsg7p,,,,71,aussietrips,100,11,,
How To Create 30 Days Private Spotify Accounts - Instant De,Legal,Guides & Tutorials,Tutorials,MiamiVice,,WW,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=05rMSJG6B9qCUYDG,,,,72,OzzyCo,100,7,,
How to Get Free Domains,Depends,Guides & Tutorials,Tutorials,MiamiVice,,WW,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=1Al9RipVXPn5oVDA,,,,73,CanadianLegend,100,5,,
20000+ Cardable Websites - Instant Delivery,Legal,Guides & Tutorials,Tutorials,MiamiVice,"This is only a guide which has a list of websites that are cardable, this does not necessarily mean anything will happen, it is as if it is a database of websites. If people take this information and use it with malicious intent then it would be illegal.",WW,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=1Aa4Hm5GSREa3m8q,,,,74,Safety1st,100,4,,
How to Move Emails from One Gmail Account to Another 2021 ,Depends,Guides & Tutorials,Tutorials,MiamiVice,"This is a tutorial that teaches you how to use the existing email settings to move and copy emails from one email to another. You can do it to your own emails which will be legalbut you can do it also to emails of others, and if done without their concents it can be considered illegal. ",WW,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0azOYW71yyR2hFrZ,,,,75,GreenBritain,100,4,,
How to Create Unlimited Free VCC MasterCard and Visa,Depends,Guides & Tutorials,Tutorials,GoldApple,"tutorial is legal, its use is illegal",WW,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0dthPKQCFRyXFHUr,,,,76,Cabackdoormedical,100,3,,
Detailed stripe Cashout Tutorial - Make $20k Weekly - Instan,Depends,Guides & Tutorials,Tutorials,MiamiVice,does not state specific way of how this 20k would be gained,WW,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0urDUMxlhWafSbO5,,,,77,connoisser,100,3,,
STEP BY STEP PAYPAL Cookie & UserAgent TUTORIAL (June,Depends,Guides & Tutorials,Tutorials,MiamiVice,"it’s a tutorial that simply teaches the buyer, but the execuion is illegal ",WW,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0s104tnMbAo9q7QY,,,,78,mediPharms,100,2,,
(14G) HQ Morrocan Dry Sift Hash [Peyote Gorilla],Illegal,Hash,Soft Drugs,Hash2GO,more then the allowed 5 gram,FR,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=04uQjXvw3upYu5iE,,,,79,truegenerics,110,1,,
Zkittlez Blonde Ice-olator Hash Morrocan Import,Illegal,Hash,Soft Drugs,BarNarcotikz,,EU,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=06BgYGGWkGcXZLFn,,,,80,SharkHash,0,0,,
12.5g Shark Hash,Illegal,Hash,Soft Drugs,SharkHash,,ESP,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=1Lve1tTrQ0qv4CjW,,,,81,DeemsTeam,0,0,,
Bubble Gum - Dry Sift Hash ~40% THC,Depends,Hash,Soft Drugs,queenofcannabis,"Depends on how much, if it is more than 5g, then illegal, if less then legal.",DE,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=1IHrJ7EehHiNwqsQ,,,,82,queenofcannabis,0,0,,
?1.5 G HEROINE | 100% PURE UNCUT AFGHAN HEROIN AAA+?,Illegal,Heroin,Hard Drugs,amsterdamexpress,,NL,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=09dH5Rt8jwcmt56K,,,,83,psychonauta02,0,0,,
Heroin uncut CH-WW,Illegal,Heroin,Hard Drugs,mrwhiteog,,CH,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=01CDCC9stADBUJpV,,,,84,chinadorelite,0,0,,
Pure Uncut Afghan Heroin #3,Illegal,Heroin,Hard Drugs,DrugzFromNL,,NL,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0Bt9gw02icgSkMnI,,,,,,,,,
Afgan Heroin,Illegal,Heroin,Hard Drugs,DutchDope,,NL,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0jmhAT6CNzYkqh3g,,,,,,,,,
SWEET MAMMA HEROIN,Illegal,Heroin,Hard Drugs,HotGirlzClub,,US,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0eaHSae9LF14gFQr,,,,,,,,,
Ketamine S-isomer Needle 99% FREE WORLD WIDE SHIPPING,Illegal ,Ketamine,Hard Drugs,DopeNL,For recreational use it is illegal however medically it is Legal. We do assume that if the person was to get it for medical reasons they would be prescribed to it and wont need to buy it on the Black Market therefore we say its illegal since they are probably buying it from the Black market for recreational use.,NL,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0nCIfY2QH6ZB77lT,,,,,,,,,
Special Promo ketamine 1g 14.50 euro ,Illegal ,Ketamine,Hard Drugs,Topflakesamsterdam,For recreational use it is illegal however medically it is Legal. We do assume that if the person was to get it for medical reasons they would be prescribed to it and wont need to buy it on the Black Market therefore we say its illegal since they are probably buying it from the Black market for recreational use.,NL,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0ausx8OTJKJPoEQ5,,,,,,,,,
2 grams Ketamine [S] - Free Shipping !,Illegal ,Ketamine,Hard Drugs,tomandjerry,For recreational use it is illegal however medically it is Legal. We do assume that if the person was to get it for medical reasons they would be prescribed to it and wont need to buy it on the Black Market therefore we say its illegal since they are probably buying it from the Black market for recreational use.,NL,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0s0W9IWJZJmgRocn,,,,,,,,,
30 Hits Ultra Clean LSD,Illegal,LSD,Hard Drugs,realjerrygarcia,,US,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0DIgKkxJI8MPss2S,,,,,,,,,
25 x 250 ug LSD tabs,Illegal,LSD,Hard Drugs,MickeyMouseNLL,,NL,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=1B1j0CEhLNUsA0wN,,,,,,,,,
100 ug WoW (White on White) LSD Tab (Bliss 5.0 LSD Crystal),Illegal,LSD,Hard Drugs,aussietrips,,ASTL,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=1EcvUCy52iwscsZN,,,,,,,,,
LSD Blotters 200ug Needlepoint Crystal +99%,Illegal,LSD,Hard Drugs,drugstar,,NL,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=1VPxeQtsp4dY2Z82,,,,,,,,,
High Quality Dutch MDMA 95%,Illegal,MDMA,Hard Drugs,DrugzFromNL,,NL,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=06vhsPZgPVpYof7J,,,,,,,,,
SASSAFRAS CHAMPAGNE MDMA 1 gram,Illegal,MDMA,Hard Drugs,PsykSous,Hard drugs are always illegal.,US,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=1CXsLrTmXxMYbXDM,,,,,,,,,
* 3.5GR MDMA 89% Pure Champagne* ,Illegal,MDMA,Hard Drugs,JessyBakery,"production, possession, and trade are a criminal offence.",NL,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0tlHh83ech3OEB3M,,,,,,,,,
10 grams High Quality MDMA [80%] | NL to NL !,Illegal,MDMA,Hard Drugs,PostNL,"production, possession, and trade are a criminal offence.",NL,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0vpR5uPzyVod4R7c,,,,,,,,,
7g - Mexican Meth (Free Xpresspost),Illegal,Meth,Hard Drugs,CanadianLegend,,Canada,oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=1Ihn0EYHyaNXnZEA,,,,,,,,,
1GR Crystal Meth Ephedrine shards FREE SHIPPING,Illegal ,Meth,Hard Drugs,StealthExpress,,NL,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0xoPkGWBKicceNqy,,,,,,,,,
Crystal Meth Pure And Clean !! Free GoodieBag !!,Illegal,Meth,Hard Drugs,ChemicPirates,,DE,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0z1tRysDR2zRA32n,,,,,,,,,
US Google Voice (All States available),Legal,Other,Other,maxwis,,Worldwide,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0DTv6oBEmNthtEr9,,,,,,,,,
ORIGINAL GUCCI WALLET,Depends,Other,Other,Feggmann,if the item is real or not,US,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0HEJfnLMTk8FXkSV,,,,,,,,,
"HEAR IT NOW, STOP PAYING FOR FULLZ, START GETTING YOUR OWN!",Illegal,Other,Stolen Credentials,sixandeight,Fullz are stolen identities or stolen credit card information.,Worldwide,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=1EiTCWtGzBTsgA1w,,,,,,,,,
bitcoin stealer full software+turtorial vidio 2021,Depends,Other,Tutorials,Dubaky,It is only illegal once the customer actually uses this knowledge to commit malicious actions.,Worldwide,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=1I6UbrydxmeNSqKl,,,,,,,,,
5 FREE PLAY TO EARN NFT GAMES TO EARN $107 DAILY,Legal,Other,Tutorials,trusteelucky,,Worldwide,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=1HJjD5nLy5PARMSs,,,,,,,,,
Australia Passport PSD Template,Depends,Other,Fake Identities,GoldApple,Having just a template of a passprot does not necessarily mean anything illegal will be done with it.,Worldwide,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=1PLdpVn5hie4irq9,,,,,,,,,
Pharmacy Prescription Label PSD Template Pack (7 Templates),Legal,Other,Fake Identities,GoldApple,It is only illegal once the customer actually uses this to perform malicious acctions,Worldwide,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=1XnLYRTRTYJIeFFd,,,,,,,,,
Malaysia Passport PSD Template ,Depends,Other,Fake Identities,GoldApple,"It Is just a template of a standard passport, but what you do with it might  be illegal. They don’t send you an already made fake passport",Worldwide,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0cxCRfKzhBuf3MDm,,,,,,,,,
Create your synthetic Identity.. AKA Creation.. Ghost ,Illegal,Other,Fake Identities,vicebuddy,,Worldwide,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0ieRwG0eCxLYto8o,,,,,,,,,
ALD-52 100ug Tabs! X1-100 UK-WW LSD Prodrug (1A-LSD),Illegal,Other RCs,Hard Drugs,DiscoJuice,,GB,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=1FzV573pMD2STNe0,,,,,,,,,
2CC 12mg X20,Illegal,Other RCs,Hard Drugs,gratefullydead,,US,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0ftaQ6ordNtQLgnZ,,,,,,,,,
[USA-USA] OXYCONTIN (Oxycodone ER) 80mg - PURDUE 1 pills,Illegal,OxyCodone,Hard Drugs,Hilfiger,It’s a type of opioid. t is highly addictive and a common drug of abuse,US,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0j4jjFnS4g0hcJ4m,,,,,,,,,
Temazepam 10 mg Restoril tablets,Illegal,pills,Medication,SindabadXpress,Temazepam can only be used legally by health professionals and for university research purposes. ,GB,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0OaInyCwyQrrynd6,,,,,,,,,
Nitrazepam 10mg Mogadon; Pharmaceutical grade,Depends,Pills,Prescription Medication,SindabadXpress,"If you have a prescription it is fine, the consumption of it is legal if provided by a prescription from a doctor.",Worldwide,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=1FdstypTzQVZAOkE,,,,,,,,,
1000 xanax2 4mg or mix&match ,Depends,Pills,Prescription Medication,xanaxbenzocanada,Depends because it is legal for consumption but a prescription is needed ,CA,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0kym0Yaf8v62bMkc,,,,,,,,,
Attentin 5mg - (Daxtroamphetamine),Depends,Pills,Prescription Medication,connoisser,"This is a type of ADHD medicine, helpful with focus. But it is a prescription pill and can be very addictive",Sweden,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0vklOixRcZT7RgVL,,,,,,,,,
10 blue XTC Punisher pills 300MG MDMA 100%,Illegal,Pills,Hard Drugs,chinadorelite,,NL,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0ySV1TABk7GtWxre,,,,,,,,,
Jatenzo Testosterone Undecanoate Andriol by Organon 40 mg,Illegal,Prescription,Prescription Medication,SindabadXpress,,Worldwide,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=09qZdUpRuhFbY3Aq,,,,,,,,,
Metaformin 500 mg x 84 Tablets Genuine UK,Depends,Prescription,Prescription Medication,imyourdoctor,"If you have a prescription it is fine, the consumption of it is legal if provided by a prescription from a doctor.",GB,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=1IP5eTXjXyrizQUr,,,,,,,,,
Benzocaine 1001 g Medical Purity 99.7%,Legal,Prescription,Medication,psychonauta02,"There is no record of this substance being found illegal, it is used in medication.",Europe,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=1F8mdUgvsuMFooBM,,,,,,,,,
Tramadol 100 mg Tablets (Ultram),Depends,Prescription,Prescription Medication,SindabadXpress,"Thamodol is a type of very strong painkiller and it is a controlled substance. Selling it is not neceserally illegal, but from the point of view of the buyer It is illegal if they use it at sports events. Considering that this is solf on the black market many people who buy it maybe want to use it as a sort of Doping or as a stimulant which would make it illegal. ",Worldwide,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0fzNmx19SNxT1yMM,,,,,,,,,
Doxepin 3 mg Silenor Tablets,Depends,Prescription,Prescription Medication,SindabadXpress,"This is a type of sleeping medication. In principal its consumption is legal however you would need a doctors prescription to get it since it is very strong and can cause confusion and increassed sleepiness, especially in people over the age of 65. ",Worldwide,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0o78JFzZjZ4WmpZb,,,,,,,,,
vilitra 20mg (generic levitra) 50 tablets,Depends,Prescription,Prescription Medication,truegenerics,"It is a prescription medecine to help men with erectile dysfunction, however when taken when this dysfunction is not present, it can cause a dangerously long errection. It is legal when prescribed to youbut since it is solf on the black market it makes it pottentially illegal to use. ",IN,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0rouMwDiEn2GWWPe,,,,,,,,,
lovegra 100mg (generic viagra for women) 40 tablets,Legal ,Prescription,Medication,truegenerics,The seller specifies that the buyer should check with their GP if this pill is okay for them so the pill should be legal. ,IN,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0oVTspqXPhfMFQ0V,,,,,,,,,
1x Feminized seed or autoflower seed of choise,Depends,Seeds,Soft Drugs,greenpirate,,Europe,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=1GFn2lheiFGiLzBc,,,,,,,,,
7gr of Shake / Dust / Tiny Buds - High Quality,Illegal,Shake,Soft Drugs,FENDI1,Selling more than 5g is illegal,GB,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=1IvMsR8vE2JWgnWE,,,,,,,,,
100G SPEED APHETAMIN PASTE ,Illegal,Speed,Hard Drugs,speedexpressgerm,,Germany,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=03RaapUBPaxPKZQ2,,,,,,,,,
Speed Amphetamine paste *50 Grams* DoctorXXL Top Quality!,Illegal ,Speed,Hard Drugs,DoctorXXL,,DE,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0obyVLppySNkmW6B,,,,,,,,,
"Tava Adderall 20mg IR **100% AUTHENTIC, PHARMACY SOURCED**",Depends,Stimulants,Prescription Medication,DoctorSuess,Depends because it is legal for consumption but a prescription is needed ,US,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/?page=listing&lid=0kSHjNTIs4iIwfke,,,,,,,,,
