Post Name,Legality,Category,Our Category,Seller,Description,Shipping From
guide to get legit usa rdp admin access free fore,Illegal,Digital,Tutorials,Dubaky,,WW
easy money - localbitcoins scam - tested 2017,Depends,Digital,Tutorials,Dubaky,"tutorial is legal, its use is illegal",WW
bitcoin stealer full software+turtorial vidio 2021,Depends,Other,Tutorials,Dubaky,It is only illegal once the customer actually uses this knowledge to commit malicious actions.,WW
MONEY LION BANK DROP,Illegal,Accounts,Stolen Credentials,feggmann,,WW
Dump with pin (track2) USA Canada and Europe + Tutorial guide,Illegal,Dumps,Tutorials,flexowned,,WW
Airbnb verified accounts,Depends,Accounts,Stolen Credentials,fraudbuddy,"assuming this offer provides the buyer with a list of credentials for verified airbnb accounts. If these accounts were all made by the seller, it might not be illigal. But if these account credentials were stolen the offer would be illigal.",WW
"7days tutorial on fraud (carding,bank loan, transfers etc) ",Depends,Fraud,Tutorials,fraudbuddy,"The discription of the page does not inform the buyer of the potential harms that can be done via this course, it only encourages them to ""replicate them in real life""",WW
FREE FULLZ Wyoming + PTIN + ATIN + EIN + CAR LICENSE…...,Illegal,Fraud,Stolen Credentials,fraudfriend,,WW
OMG FULLZ INFO FROM lowa + DRIVING LICENSE + Car License,Illegal,Fraud,Stolen Credentials,fraudmigo,,WW
BECOME A PRO MOBILE DEVELOPER IN 1 WEEK - MAKE 500,Legal,E-Books,Tutorials,fullzipp,,WW
How to Create Unlimited Free VCC MasterCard and Visa,Depends,Guides & Tutorials,Tutorials,GoldApple,"tutorial is legal, its use is illegal",WW
Australia Passport PSD Template,Depends,Other,Fake Identities,GoldApple,Having just a template of a passprot does not necessarily mean anything illegal will be done with it.,WW
Pharmacy Prescription Label PSD Template Pack (7 Templates),Legal,Other,Fake Identities,GoldApple,It is only illegal once the customer actually uses this to perform malicious acctions,WW
Malaysia Passport PSD Template ,Depends,Other,Fake Identities,GoldApple,"It Is just a template of a standard passport, but what you do with it might  be illegal. They don’t send you an already made fake passport",WW
Cash Out ANY Bank Account & Make a Killing,Depends,Accounts,Tutorials,Hackboy,"as the offer just provides a tutorial on how to perform scams it could be used for educational purposes, however using this info to your own advantage would be illigal.",WW
2021 BYPASS 2FA AUTH TUTORIAL + VIDEO + POWERFULL METHOD,Depends,Digital,Tutorials,k1to,"If the person bypassing is trying to get the information with malicious intent, or if they are not supposed to see that information, then it is illegal.",WW
US Google Voice (All States available),Legal,Other,Other,maxwis,,WW
Amazon LIVE Method Tested In May 100% Working,Depends,Accounts,Tutorials,MiamiVice,not really clear hwat the method is or what it does,WW
Cloning Contactless Credit Cards - NFC,Depends,Accounts,Tutorials,MiamiVice,"If the person cloning their owncredit card, then it is not necessarily illegal.",WW
How To Spread Your Malware Using Runescape,Depends,Accounts,Tutorials,MiamiVice,It is only illegal once the customer actually uses this knowledge to commit malicious actions.,WW
VIDEO - Latest Carding Guide CC/CVV to gift Cards,Depends ,Accounts,Tutorials,MiamiVice,"This contains a tutorial on how to cashout gift cards, and a list of cardable websites. The list intself is legal but the tutorial is not",WW
The Art And Science of Cooking With Cannabis 50 + r,Legal,Accounts,Tutorials,MiamiVice,,WW
Anonfiles File Scrapper - Instant Delivery,Legal,Digital,Tutorials,MiamiVice,,WW
2021 - Carding Method Cash Out Money From CC,Illegal,Guides & Tutorials,Tutorials,MiamiVice,,WW
How To Open Handcuffs Without Keys - 49 pages tutorial ,Legal,Guides & Tutorials,Tutorials,MiamiVice,,WW
How To Create 30 Days Private Spotify Accounts - Instant De,Legal,Guides & Tutorials,Tutorials,MiamiVice,,WW
How to Get Free Domains,Depends,Guides & Tutorials,Tutorials,MiamiVice,,WW
20000+ Cardable Websites - Instant Delivery,Legal,Guides & Tutorials,Tutorials,MiamiVice,"This is only a guide which has a list of websites that are cardable, this does not necessarily mean anything will happen, it is as if it is a database of websites. If people take this information and use it with malicious intent then it would be illegal.",WW
How to Move Emails from One Gmail Account to Another 2021 ,Depends,Guides & Tutorials,Tutorials,MiamiVice,"This is a tutorial that teaches you how to use the existing email settings to move and copy emails from one email to another. You can do it to your own emails which will be legalbut you can do it also to emails of others, and if done without their concents it can be considered illegal. ",WW
Detailed stripe Cashout Tutorial - Make $20k Weekly - Instan,Depends,Guides & Tutorials,Tutorials,MiamiVice,does not state specific way of how this 20k would be gained,WW
STEP BY STEP PAYPAL Cookie & UserAgent TUTORIAL (June,Depends,Guides & Tutorials,Tutorials,MiamiVice,"it’s a tutorial that simply teaches the buyer, but the execuion is illegal ",WW
10xmonero silent miner mine xmr using infected pc,Depends,Fraud,Tutorials,niketeam,it depends if the owner of this infected pc has given concent to be used as a mining pc.,WW
Nitrazepam 10mg Mogadon; Pharmaceutical grade,Depends,Pills,Prescription Medication,SindabadXpress,"If you have a prescription it is fine, the consumption of it is legal if provided by a prescription from a doctor.",WW
Jatenzo Testosterone Undecanoate Andriol by Organon 40 mg,Illegal,Prescription,Prescription Medication,SindabadXpress,,WW
Tramadol 100 mg Tablets (Ultram),Depends,Prescription,Prescription Medication,SindabadXpress,"Thamodol is a type of very strong painkiller and it is a controlled substance. Selling it is not neceserally illegal, but from the point of view of the buyer It is illegal if they use it at sports events. Considering that this is solf on the black market many people who buy it maybe want to use it as a sort of Doping or as a stimulant which would make it illegal. ",WW
Doxepin 3 mg Silenor Tablets,Depends,Prescription,Prescription Medication,SindabadXpress,"This is a type of sleeping medication. In principal its consumption is legal however you would need a doctors prescription to get it since it is very strong and can cause confusion and increassed sleepiness, especially in people over the age of 65. ",WW
"HEAR IT NOW, STOP PAYING FOR FULLZ, START GETTING YOUR OWN!",Illegal,Other,Stolen Credentials,sixandeight,Fullz are stolen identities or stolen credit card information.,WW
FULLZ CARDING SETUP 99% SUCCESS WIN 7+BONUS+45GB CASHOUT,Illegal,Carding ,Stolen Credentials,slipperypete,Fullz are stolen identities or stolen credit card information.,WW
5 FREE PLAY TO EARN NFT GAMES TO EARN $107 DAILY,Legal,Other,Tutorials,trusteelucky,,WW
Create your synthetic Identity.. AKA Creation.. Ghost ,Illegal,Other,Fake Identities,vicebuddy,,WW
98% PURE COCAINE 7g $550,Illegal,Cocaine,Hard Drugs,bearft2,,US
Indoor Cannabis 14 Grams,Illegal,Edibles,Soft Drugs,Cabackdoormedical,Selling more than 5g is illegal,US
Island PAX Era o.rG Pod: Blackberry OG - Indica,Depends,Concentrates,Soft Drugs,California420Service,its cannabis formula for a vape. The rules on that one are not very clear,US
8oz - Indoor Exotic - Fruit Loops,Illegal,Buds & Flowers,Soft Drugs,CaliforniaGrower,8oz is around 220gr which is well over 5gr.,US
Quarter Pound Sour Diesel! Last Years Special!,Illegal,Buds & Flowers,Soft Drugs,Cannabuds,A quarter pound is above the maximum legal amount of 5 grams,US
Florida's *NEW* Driver's License HD .PSD Template,Depends,Counterfeits,Fake Identities,DoctorSuess,People need to always go through a procedure to get a license legally. But having a template does not necessarily mean anything illegal is going to happen.,US
"Tava Adderall 20mg IR **100% AUTHENTIC, PHARMACY SOURCED**",Depends,Stimulants,Prescription Medication,DoctorSuess,Depends because it is legal for consumption but a prescription is needed ,US
Truffle Butter 112g(4oz) *Greenhouse*,Illegal,Buds & Flowers,Soft Drugs,dreamjar,It is legal to buy truffles but only up to 20mg,US
500 Bars x 2.5mg Xanax R039......USA - USA ,Depends,Benzos,Prescription Medication,ezinpharma,Xanax can be perscribed and thus could be legal to some. Without prescription is illegal.,US
ORIGINAL GUCCI WALLET,Depends,Other,Other,Feggmann,if the item is real or not,US
2CC 12mg X20,Illegal,Other RCs,Hard Drugs,gratefullydead,,US
[USA-USA] OXYCONTIN (Oxycodone ER) 80mg - PURDUE 1 pills,Illegal,OxyCodone,Hard Drugs,Hilfiger,It’s a type of opioid. t is highly addictive and a common drug of abuse,US
SWEET MAMMA HEROIN,Illegal,Heroin,Hard Drugs,HotGirlzClub,,US
Adderall (b974) 30mg tablet x 25 - (USA),Depends,Adderal & Vyvanse,Prescription Medication,LuckySupply,"If you have a prescription it is fine, the consumption of it is legal if provided by a prescription from a doctor.",US
100 x Adderall IR 30mg Tabs -free Shipping-Usa 2 Us Domestic,Depends,Adderal & Vyvanse,Prescription Medication,Muankum12,"If you have a prescription it is fine, the consumption of it is legal if provided by a prescription from a doctor.",US
Thin Mintz - AAA ($95/OZ - $1550/LB) ,Illegal,Buds & Flowers,Soft Drugs,prettypacks,selling per ounch or per pound means the volume is more then 5 grams and thus would be illegal in the netherlands,US
SASSAFRAS CHAMPAGNE MDMA 1 gram,Illegal,MDMA,Hard Drugs,PsykSous,Hard drugs are always illegal.,US
30 Hits Ultra Clean LSD,Illegal,LSD,Hard Drugs,realjerrygarcia,,US
Platinum Bubba Kush INDOOR,Depends,Buds & Flowers,Soft Drugs,WA2018,no grams are indicateed to determine if its illegal ,US
Blue Cookies INDOOR,Depends,Buds & Flowers,Soft Drugs,WA2018,"The seller does not specify the grams of weed they are selling. In the netherlands selling without a license is illegal however from the point of the buyer, possesion of 5g is legal. ",US
28-56g OG Kush Very Potent UK--UK NDD tracked,Illegal,Buds & Flowers,Soft Drugs,redlomon,"5g is allowed for possesion, and 500g is the max a coffeeshop can possess ( with a license). The seller most likely has no license + th ebuyer once bought will possess more than 5g making this illegal. Also trading and selling more than 30g can lead to 3 yar of jail time",UK
Attentin 5mg - (Daxtroamphetamine),Depends,Pills,Prescription Medication,connoisser,"This is a type of ADHD medicine, helpful with focus. But it is a prescription pill and can be very addictive",SE
✅1.5 G HEROINE | 100% PURE UNCUT AFGHAN HEROIN AAA+✅,Illegal,Heroin,Hard Drugs,amsterdamexpress,,NL
10 blue XTC Punisher pills 300MG MDMA 100%,Illegal,Pills,Hard Drugs,chinadorelite,,NL
COLOMBIAN COKE 92% High Quality Available From 1G to 150g,Illegal,Cocaine,Hard Drugs,chinadorelite,,NL
Ketamine S-isomer Needle 99% FREE WORLD WIDE SHIPPING,Illegal ,Ketamine,Hard Drugs,DopeNL,For recreational use it is illegal however medically it is Legal. We do assume that if the person was to get it for medical reasons they would be prescribed to it and wont need to buy it on the Black Market therefore we say its illegal since they are probably buying it from the Black market for recreational use.,NL
Pure Bolivian Shiny Fishscale Cocaine 87% - Disco Shit,Illegal,Cocaine,Hard Drugs,DopeSeller,,NL
LSD Blotters 200ug Needlepoint Crystal +99%,Illegal,LSD,Hard Drugs,drugstar,,NL
Pure Uncut Afghan Heroin #3,Illegal,Heroin,Hard Drugs,DrugzFromNL,,NL
High Quality Dutch MDMA 95%,Illegal,MDMA,Hard Drugs,DrugzFromNL,,NL
Afgan Heroin,Illegal,Heroin,Hard Drugs,DutchDope,,NL
0.5g - Crystal Methamphetamine 96% Crystal clear Ice!,Illegal,Buds & Flowers,Soft Drugs,DutchSupreme,put under the wrong category we think as it is meth,NL
* 3.5GR MDMA 89% Pure Champagne* ,Illegal,MDMA,Hard Drugs,JessyBakery,"production, possession, and trade are a criminal offence.",NL
0.5 gram High Quality Cocaine,Illegal,Cocaine,Hard Drugs,MickeyMouseNLL,,NL
5 grams High Quality Crack Cocaine,Illegal,Crack,Hard Drugs,MickeyMouseNLL,,NL
25 x 250 ug LSD tabs,Illegal,LSD,Hard Drugs,MickeyMouseNLL,,NL
5 grams High quality Cocaine [90%] NL to NL !,Illegal,Cocaine,Hard Drugs,PostNL,,NL
10 grams High Quality MDMA [80%] | NL to NL !,Illegal,MDMA,Hard Drugs,PostNL,"production, possession, and trade are a criminal offence.",NL
Pharmacy Cannabis - 1 Gram Bedrocan - Medicinal Marihuana,Depends ,Buds & Flowers,Soft Drugs,Safety1st,,NL
1GR Crystal Meth Ephedrine shards FREE SHIPPING,Illegal ,Meth,Hard Drugs,StealthExpress,,NL
Quad (7 grams) High Quality Cocaine [90%] - Free Ship !,Illegal,Cocaine,Hard Drugs,tomandjerry,,NL
2 grams Ketamine [S] - Free Shipping !,Illegal ,Ketamine,Hard Drugs,tomandjerry,For recreational use it is illegal however medically it is Legal. We do assume that if the person was to get it for medical reasons they would be prescribed to it and wont need to buy it on the Black Market therefore we say its illegal since they are probably buying it from the Black market for recreational use.,NL
Special Promo ketamine 1g 14.50 euro ,Illegal ,Ketamine,Hard Drugs,Topflakesamsterdam,For recreational use it is illegal however medically it is Legal. We do assume that if the person was to get it for medical reasons they would be prescribed to it and wont need to buy it on the Black Market therefore we say its illegal since they are probably buying it from the Black market for recreational use.,NL
3.5g Gram Cocaine 75% intense Coca Columbian,Illegal,Cocaine,Hard Drugs,Freewalder,,IR
vilitra 20mg (generic levitra) 50 tablets,Depends,Prescription,Prescription Medication,truegenerics,"It is a prescription medecine to help men with erectile dysfunction, however when taken when this dysfunction is not present, it can cause a dangerously long errection. It is legal when prescribed to youbut since it is solf on the black market it makes it pottentially illegal to use. ",IN
lovegra 100mg (generic viagra for women) 40 tablets,Legal ,Prescription,Medication,truegenerics,The seller specifies that the buyer should check with their GP if this pill is okay for them so the pill should be legal. ,IN
5Xtc Givencys 250mg CLEAN CUT,Illegal,Ecstasy ,Hard Drugs,Freewalder,,IE
7g Strawberry - CALI import AAAA+,Illegal,Buds & Flowers,Soft Drugs,FunkyMonkey,Upto 5g its legal for possesion. Bove 30g its prosecuted with 3 yearrs of prison. For selling without a licence its illegal,GB 
Diazepam / valium Real from pharmacy,Depends,Benzos,Prescription Medication,comberUK,It’s a prescription narcotic ,GB
ALD-52 100ug Tabs! X1-100 UK-WW LSD Prodrug (1A-LSD),Illegal,Other RCs,Hard Drugs,DiscoJuice,,GB
2PK♥Distillate Delta-9♥ 750mg THC Cart - Straw,Depends,Concentrates,Soft Drugs,Distillate4U,its cannabis formula for a vape. The rules on that one are not very clear,GB
"STARTER VAPE KIT -500mg THC cart, battery, charger adapter",Legal,Concentrates,Soft Drugs,Distillate4U,,GB
7.0g NN-DMT (extracted from Mimosa Hostilis root bark),Illegal,DMT,Hard Drugs,DomesticGoddess,Hard drugs are always illegal.,GB
7g Bubblegum 42 (pounds),Illegal,Buds & Flowers,Soft Drugs,El-Chapo,,GB
AAA+++ OG COOKIES TOP IMPORT H.Q - (60G-112G) - NDD UK,Illegal,Cannabis,Soft Drugs,El-Chapo,high volume that is not allowed in NL,GB
10G AAA+++ cannalope Haze TOP IMPORTANT - NDD UK,Illegal,cannabis,Soft Drugs,El-Chapo,,GB
1g 92% Columbian Cocaine Uncut H.Q,Illegal,Cocaine,Hard Drugs,EveryLittleHelps,,GB
0.5gr of G13 Haze - Import - THC 20% / High Quality,Depends ,Buds & Flowers,Soft Drugs,FENDI1,Under 5g its legal for possesion and this is 0.5gr which is ,GB
7gr of Shake / Dust / Tiny Buds - High Quality,Illegal,Shake,Soft Drugs,FENDI1,Selling more than 5g is illegal,GB
2g - Bubblegum Haze - UK2UK,Depends,Buds & Flowers,Soft Drugs,FunkyMonkey,"depends 2 grams in possesion is allowed, but selling is not allowed",GB
2g - UK Runtz - UK2UK,Depends ,Buds & Flowers,Soft Drugs,FunkyMonkey,"up until 5g is allowed for possesion, however selling without being a coffeeshop is illegal, but it is under 30g",GB
1g - Social Peruvian Cocaine 80% UK Only,Illegal,Cocaine,Hard Drugs,FunkyMonkey,,GB
3.5G AMNESIA HAZE A+++NDD-FREE POSTAGE,Depends,Buds & Flowers,Soft Drugs,Gingercrew,"depends 3.5 grams in possesion is allowed, but selling is not allowed",GB
"2 pc Darth Vader head (200mg THC/pc), A+",Depends,Edibles,Soft Drugs,GreenBritain,,GB
Metaformin 500 mg x 84 Tablets Genuine UK,Depends,Prescription,Prescription Medication,imyourdoctor,"If you have a prescription it is fine, the consumption of it is legal if provided by a prescription from a doctor.",GB
28g Super Lemon Haze 235.2 £,Illegal,Buds & Flowers,Soft Drugs,maurelius,,GB
3.5 G BANANA OG TOP SHELF CANNABIS UK!!!,Depends ,cannabis,Soft Drugs,mediPharms,,GB
1g of Grape Goddess AAA+++ Coffeeshop Grade,Depends,Buds & Flowers,Soft Drugs,OzzyCo,"depends 1 gram in possesion is allowed, but selling is not allowed",GB
Temazepam 10 mg Restoril tablets,Illegal,pills,Medication,SindabadXpress,Temazepam can only be used legally by health professionals and for university research purposes. ,GB
"2 X RUNTZ OG, 1g VAPE CARTS",Depends,Concentrates,Soft Drugs,THETHCDOCTOR1,its cannabis formula for a vape. The rules on that one are not very clear,GB
"5 x 1ml of DELTA 9, THC In Syringe, Premixed With Terpenes ",Depends,Concentrates,Soft Drugs,THETHCDOCTOR1,its cannabis formula for a vape. The rules on that one are not very clear,GB
"0.5 oz (14g) DELTA 9 THC Distillate, In Preloaded Syringe ",Depends,Concentrates,Soft Drugs,THETHCDOCTOR1,its cannabis formula for a vape. The rules on that one are not very clear,GB
Rechargable Vape battery,Legal,Concentrates,Other,THETHCDOCTOR1,"Vapes are legal, and the usage of batteries for vapes are as well.",GB
25 x Packs THC Gummie Bears 400mg EACH PACK,Depends,Edibles,Soft Drugs,THETHCDOCTOR1,,GB
(14G) HQ Morrocan Dry Sift Hash [Peyote Gorilla],Illegal,Hash,Soft Drugs,Hash2GO,more then the allowed 5 gram,FR
Zkittlez Blonde Ice-olator Hash Morrocan Import,Illegal,Hash,Soft Drugs,BarNarcotikz,,EU
1mL Potent DMT Cart,Illegal,DMT,Hard Drugs,DeemsTeam,,EU
1x Feminized seed or autoflower seed of choise,Depends,Seeds,Soft Drugs,greenpirate,,EU
Benzocaine 1001 g Medical Purity 99.7%,Legal,Prescription,Medication,psychonauta02,"There is no record of this substance being found illegal, it is used in medication.",EU
12.5g Shark Hash,Illegal,Hash,Soft Drugs,SharkHash,,ESP
14g Green Poison £81.2,Illegal,Buds & Flowers,Soft Drugs,maurelius,above the maximum amount of 5 grams.,ES
500g Jack 47 (Jack Herer X AK-47 strains) 2450 pounds,Illegal,Buds & Flowers,Soft Drugs,maurelius,"500g is a lot, even cofee shops areer not allowed to possess more than 500g on the daily, and they can not sell more than 5 to peopple, making this offer illegal",ES
Crystal Meth Pure And Clean !! Free GoodieBag !!,Illegal,Meth,Hard Drugs,ChemicPirates,,DE
Speed Amphetamine paste *50 Grams* DoctorXXL Top Quality!,Illegal ,Speed,Hard Drugs,DoctorXXL,,DE
Bubble Gum - Dry Sift Hash ~40% THC,Depends,Hash,Soft Drugs,queenofcannabis,"Depends on how much, if it is more than 5g, then illegal, if less then legal.",DE
100G SPEED APHETAMIN PASTE ,Illegal,Speed,Hard Drugs,speedexpressgerm,,DE
Heroin uncut CH-WW,Illegal,Heroin,Hard Drugs,mrwhiteog,,CH
7g - Mexican Meth (Free Xpresspost),Illegal,Meth,Hard Drugs,CanadianLegend,,CA
1000 xanax2 4mg or mix&match ,Depends,Pills,Prescription Medication,xanaxbenzocanada,Depends because it is legal for consumption but a prescription is needed ,CA
100 ug WoW (White on White) LSD Tab (Bliss 5.0 LSD Crystal),Illegal,LSD,Hard Drugs,aussietrips,,ASTL
